N,Name,NameTrimmed,Parent,VTAddr,Size,ID,VTSize,CtorName
1,CPlaceable,CPlaceable,,0x863C40,0x18,none,0x4,
2,    CCamera,CCamera,CPlaceable,0x8630E8,0xD78,none,0x4,
3,    CEntity,CEntity,CPlaceable,0x863928,0x38,none,0x58,
4,        CBuilding,CBuilding,CEntity,0x8585C8,0x38,none,0x58,
5,            CAnimatedBuilding,CAnimatedBuilding,CBuilding,0x8639B0,0x38,none,0x58,
6,        CDummy,CDummy,CEntity,0x8638C0,0x38,none,0x58,
7,            CDummyObject,CDummyObject,CDummy,0x866E78,0x38,none,0x58,
8,            CDummyPed,CDummyPed,CDummy,0x86C198,0x38,none,0x58,
9,        CPhysical,CPhysical,CEntity,0x863BA0,0x138,none,0x5C,
10,            CObject,CObject,CPhysical,0x866F60,0x17C,none,0x5C,
11,                CHandObject,CHandObject,CObject,0x866EE0,0x18C,none,0x5C,
12,                CProjectile,CProjectile,CObject,0x867030,0x17C,none,0x5C,
13,                CCutsceneObject,CCutsceneObject,CObject,0x868A60,0x19C,none,0x5C,
14,            CPed,CPed,CPhysical,0x86C358,0x79C,none,0x68,
15,                CCivilianPed,CCivilianPed,CPed,0x86C0A8,0x79C ,none,0x68,
16,                CCopPed,CCopPed,CPed,0x86C120,0x7C4 ,none,0x68,
17,                CEmergencyPed,CEmergencyPed,CPed,0x86C200,0x79C ,none,0x68,
18,                CPlayerPed,CPlayerPed,CPed,0x86D168,0x7A4 ,none,0x68,
19,            CVehicle,CVehicle,CPhysical,0x871E80,0x5A0,none,0x104,
20,                CAutomobile,CAutomobile,CVehicle,0x871120,0x988,none,0x118,
21,                    CHeli,CHeli,CAutomobile,0x871680,0xA18,none,0x118,
22,                    CMonsterTruck,CMonsterTruck,CAutomobile,0x8717D8,0x99C,none,0x118,
23,                    CPlane,CPlane,CAutomobile,0x871948,0xA04,none,0x118,
24,                    CQuadBike,CQuadBike,CAutomobile,0x871AE8,0x9BC,none,0x118,
25,                    CTrailer,CTrailer,CAutomobile,0x871C28,0x9F4,none,0x118,
26,                CBike,CBike,CVehicle,0x871360,0x814,none,0x108,
27,                    CBmx,CBmx,CBike,0x871528,0x838,none,0x108,
28,                CBoat,CBoat,CVehicle,0x8721A0,0x7E8 ,none,0x104,
29,                CTrain,CTrain,CVehicle,0x872370,0x6AC,none,0x104,
